# id	sub	bounty	ncom	ageH	tags	title
1549793	bitcoin	5000	18	19.8	OPEN_BOUNTY,HOT	⚡Best tips for running a profitable lighting node?⚡
1550073	lol	0	16	12.3	HOT	BIP-110 Post Mortem - lopp
1549750	bitcoin	0	3	21.0	HOT	Bitcoin post-quantum R&D tldr - Conduition on the state of Bitcoin post-quantum
1549904	bitcoin	0	10	17.5	HOT	Compact Block Filters for Users and Wallet Developers
1550017	bitcoin	0	3	14.4	HOT	Glimpse: Regulated Bitcoin Prediction Markets
1549968	bitcoin	0	1	15.9	HOT	BitBox 08.2026 Dixence update
1549796	bitcoin	0	1	19.7	HOT	Stable Payjoin — Last Week in Bitcoin (Aug 10 - 16)
1549979	meta	0	11	15.7	HOT	Stacker News Monthly: July 2026
1549725	AI	0	2	22.4	HOT	How AI text watermarking works
1550187	bitcoin	0	2	2.9		You've been doing Bitcoin's sales work for free. Not anymore. - Amboss
1549765	bitcoin	0	2	20.3		krux project has a new maintainer: JohnDoe_le_frog
1549902	bitcoin	0	0	17.6		RY3T Nova: First Product Built on Mujina - 256 Foundation
1549774	bitcoin	0	1	20.2		Going live in 3 hours with Age of Abundance to talk post split Bitcoin
1549709	bitcoin	0	0	23.1		bitcoin-decoder: Decode all things bitcoin - Psycarlo
1549934	bitcoin	0	0	16.8		Introducing Verify Wealth — Bitcoin-native financial planning
1549805	bitcoin	0	0	19.6		Bitcoin Tech Talk #514: Incentives, Poor Zs, Fertility/Fiat, Food Importance++
1549719	Geyser_community	0	3	22.5		Bitcoin Culture Is Not Dead. It Just Stopped Being One Culture
