# id	sub	bounty	ncom	ageH	tags	title
1559053	bitcoin	0	11	9.8	HOT	Peach Bitcoin At a Regulatory Crossroads (Peach, Steph)
1558819	security	0	19	16.4	HOT	The end of open source in Bitcoin
1559244	bitcoin	0	8	7.2	HOT	Peach is at a crossroads: what does this mean for KYC-free P2P Bitcoin?
1559201	meta	0	6	8.0	HOT	I took my time with SNZ Issue #69 ;)
1559514	tech	0	2	1.8	FRESH	I went to the loneliest baseball game on Apple Vision Pro
1558886	bitcoin	0	0	13.5		Beware Of BIP110/Blake BTC Scams
1558965	relationships	0	1	11.4		🎙️ NEW EPISODE: The Fiat Stockholm Syndrome
1558846	bitcoin	0	2	15.0		Bitcoin Is Becoming The World's Reserve Currency
1558860	bitcoin	0	1	14.2		Cuando paso lo de Coldcard me propuse armar esto para la comunidad
1559441	meta	0	0	3.5		Into the Weeds! 🗡✊🌵 Quantum Polarization
