# id	sub	bounty	ncom	ageH	tags	title
1540885	bitcoin	0	25	16.0	HOT	nvk deleting tweets as we speak. Backup and screenshoot interactions with him!
1541227	bitcoin	0	2	8.7	HOT	How CTV Covenant Enabled Vaults Could Have Protected Cold Card Victims
1541175	bitcoin	0	0	10.2	HOT	joinmarket-clientserver makers with a fidelity bond need to restart periodically
1541165	bitcoin	0	5	10.7	HOT	Node Runners what are you running?
1541015	bitcoin	0	34	13.4	HOT	Is Bitcoin primarily a "lifestyle brand"?
1540811	bitcoin	0	17	17.7	HOT	There is not 1 single compelling evidence that this was a backdoor.
1541262	bitcoin	0	1	7.7	HOT	Latest Strikes #31 - July 27 - August 2nd 2026 - Boltz, BIP110, & more!
1541071	bitcoin	0	0	12.8	HOT	COLDCARD, CLN DoS, Stack Exchange - Bitcoin Optech Newsletter #416 Recap Podcast
1540813	bitcoin	0	19	17.6	HOT	The Nordic Node #7: The Day the Token Wars Came
1541127	news	0	3	11.4	HOT	wiz is looking for support to register .bitcoin top level domain
1541113	news	0	9	11.8	HOT	"Having said all that… I’M NOT FUCKING LEAVING!"
1541104	bitcoin	0	2	12.2	HOT	Bitcoin Toxic Maximalism Has Failed
1540728	bitcoin	0	2	20.1	HOT	Turn retired Coldcards into open source SecretKeeper with custom firmware & NFC
1541116	meta	0	6	11.7	HOT	SN release: attached wallet send and receive interface
1541229	bitcoin	0	4	8.6		39,600 BTC in transfers of less than 1 Bitcoin following the Coldcard incident.
1541190	bitcoin	0	5	9.5		Defending funds on ColdCard with RBF transactions
1540731	bitcoin	0	2	19.8		The Bitcoin Matrix - Hodlonaut
1540773	lol	0	2	18.7		coldcard-stolen-to-btclock.py
1540916	bitcoin	0	1	15.4		south korean influencers got followers to use dice rolls for wallet entropy
1540673	bitcoin	0	0	22.5		Coldcardhacker starts mixing 64 BTC
1540797	bitcoin	0	2	18.1		El  café de los bitcoiners
1540845	AI	0	1	16.9		Apply to have Loupe scan your FOSS bitcoin project’s repos for vulnerabilities
1540875	meta	0	5	16.2		What are you working on this week?
1541141	tech	0	4	11.2		Motley Fool's new Double Down total conviction stock pick...
