# id	sub	bounty	ncom	ageH	tags	title
1578146	bitcoin	0	5	6.3	HOT	Building LightningCanvas – A provably fair 10,000 pixel canvas with LN & SHA-256
1577872	AskSN	0	13	16.8	HOT	Keep your projects anonymous or put your reputation behind them?
1578315	bitcoin	0	0	0.6	FRESH	Bitwise CIO Declares Crypto Winter Over On CNBC
1578061	bitcoin	0	6	11.5	HOT	The Geometry of Power
1577623	bitcoin	0	33	22.5	HOT	The Progressive Bitcoiner shuts down and then tries to raise $2m
1577589	bitcoin	0	8	23.0	HOT	Sunday Survey: Do you mine?
1577872	AskSN	0	13	16.8	HOT	Keep your projects anonymous or put your reputation behind them?
1578181	news	0	0	4.1		Four Armed Men Tie up Family in French Crypto Home Invasion
1578155	bitcoin	0	12	5.4		Why I believe the Bitcoin Standard is inevitable
1578087	AI	0	0	9.9		AI Audits Found a Four-Year Zcash Bug and Drained $100M in Bitcoin
1577690	bitcoin	0	13	21.3		Crypto Blew Its Big Moment—and the Blame Game Has Begun  WSJ
1577686	bitcoin	0	4	21.4		Wedding Day🕍✨
1578204	meta	0	0	3.4		This Day on SN: September 21
1578063	lol	0	2	11.4		Son spends $118K out of dad's credit card for youtube ads
1577750	AI	0	3	20.4		wtf is jev? - YouTube
1577726	tech	0	2	20.8		Speaking With The Mind | Neuralink
1577735	tech	0	0	20.6		Malware npm evades GitHub defenses by hiding in runtime code
