# id	sub	bounty	ncom	ageH	tags	title
1540499	bitcoin	0	14	10.1	HOT	Boltz Exchange warrant canary expires , days later they announce end of services
1540428	bitcoin	0	13	11.8	HOT	Don't learn the wrong lesson
1540535	bitcoin	0	2	9.4	HOT	Gwern is moving to AI
1540163	bitcoin	0	33	17.1	HOT	Cguida rebases Luke Dashjr's PoW change to Knots
1540008	bitcoin	0	13	19.8	HOT	ColdCard Entropy Bug: An Investigative History
1540488	bitcoin	0	0	10.4	HOT	odudex stepping down as krux maintainer, project may be sunset
1539991	the_stacker_muse	0	8	20.1	HOT	Bitcoin is my Dread Pirate Roberts
1539912	bitcoin	0	40	22.3	HOT	Tails+Electrum as an alternative to a HWW as part of a 2-of-3 multisig?
1540370	bitcoin	0	8	12.9	HOT	Adding to the Public Record on Our Ongoing Investigation - Coldcard
1540542	bitcoin	0	6	9.3	HOT	Will you ever trust a wallet's entropy again? (Long term hodl not spend wallets)
1540481	bitcoin	0	1	10.7	HOT	mapping the ongoing Coldcard attack with a live dashboard - James O'Beirne
1540033	security	0	22	19.4	HOT	Cold Card Retirement Attack?
1540419	bitcoin	0	0	12.0	HOT	Coldcard Key Exposure | @orangesurf
1540132	bitcoin	0	1	18.0	HOT	Ian Coleman bip 39 website
1539838	bitcoin	0	19	23.9	HOT	Gigi Bringing the Wisdom
1539875	bitcoin	0	3	22.8	HOT	Bitcoins Have No Physical Form: The Coldcard Heist (Money Stuff, Matt Levine)
1540052	tech	0	15	19.1	HOT	FYI GitHub organization owners can see contributor's country and even IP
1540627	bitcoin	0	3	4.1		Crazy OPRETURN to attackers address
1540596	bitcoin	0	1	6.5		Stay away from the EXCHANGES, XD
1540497	bitcoin	0	0	10.2		Situationship
1539905	AI	0	3	22.4		Red teaming bitcoin projects
1540348	bitcoin	0	0	13.2		Bloomberg: Central Banks Put a Strong Floor Under Gold
1540204	AI	0	1	16.4		Why Wall Street is Ignoring Big Tech's Debt
1539936	security	0	1	21.8		SeedSigner Wallet Simulator
1540349	DIY	0	1	13.2		richlegrand | BitBang peer-to-peer network
