# id	sub	bounty	ncom	ageH	tags	title
1503133	bitcoin	0	0	1.7	FRESH	Bips.xyz and nips.nostr.com have been updated
1503153	bitcoin	0	0	1.2	FRESH	Quantum threat: let's not turn Bitcoin into an altcoin - Antoine Ponsoit
1502950	bitcoin	0	1	7.0	HOT	BIP324, Miniscript, Changing Consensus segment - Bitcoin Optech Newsletter #408
1502865	bitcoin	0	6	8.8	HOT	The Economics of Protocol Design: Proposing Lightning over Ark by Rene Pickhardt
1502494	DIY	0	11	23.8	HOT	YOU will build the roads.
1502517	bitcoin	0	1	23.4	HOT	A hands-on guide to Silent Payments in Sparrow (BIP-352)
1503008	bitcoin	0	0	4.7		📣 AMA Announcement: Grubles and co from Second.Tech (Ark) - Tuesday, 10AM
1503103	bitcoin	0	0	2.3		Cashu For Community Tutorial #5: The Swiss Army Knife of Infrastructure
1503042	bitcoin	0	5	4.1		Scoop up those sats with both hands
1503044	bitcoin	0	3	4.0		How I paid with bitcoin using my glasses by Vincenzo Palazzo
1502689	news	0	32	15.6		The Orchard Counterfeiting Vulnerability - zooko
1502667	bitcoin	0	2	16.6		Proof of Work: AudioBook bridging the gap between Photography and Bitcoin
1502668	tech	0	1	16.5		The first known "Zap out" commerce event on Nostr - featuring @Oshi
1502576	bitcoin	0	0	21.5		A Bitcoin node monitoring tool and website bitnod.es is launched
1502579	bitcoin	0	0	21.3		P2WOTS: Live Signet & Interactive Wallet Demo
1502501	gaming	0	1	23.7		CMH World Cup Sweepstake
1502522	bitcoin	0	3	23.2		Better and Coinbase Celebrate First Token-backed Mortgage Backed by Fannie Mae
1502588	bitcoin	0	0	21.1		Bitcoin’s Quiet Role in the World Cup Economy
1503054	AI	0	1	3.6		Nick Slaney looking for beta testers - $25
1502866	Music	0	0	8.8		Smartify your vintage linear turntable
1502668	tech	0	1	16.5		The first known "Zap out" commerce event on Nostr - featuring @Oshi
1502490	tech	0	5	24.0		Mastercard expands settlement capabilities to include stablecoins
1502607	tech	0	0	20.4		Anthropic's open-source framework for AI-powered vulnerability discovery
