# id	sub	bounty	ncom	ageH	tags	title
1554844	bitcoin	0	6	6.0	HOT	Getting Bitcoin · It’s time to take bitcoin seriously.
1554977	bitcoin	0	2	2.0	HOT	Covenants.diy: a node editor for covenant scripts
1554539	bitcoin	0	14	12.8	HOT	Non-custodial prediction markets on Ark?
1554566	bitcoin	0	2	12.2	HOT	Bitcoin Supply Check - BitMex Research
1554998	bitcoin	0	0	1.6	FRESH	Coinbase-backed crypto advocacy group endorses 32 US midterm candidates
1554367	bitcoin	0	12	21.1	HOT	Bitcoin explained as a live 3D machine
1554938	meta	0	5	2.8	HOT	@nitter is dead again
1554781	science	0	2	7.2	HOT	SpaceX intends to invest up to $100 billion in massive Louisiana spaceport
1554733	tutorials	0	4	8.6		Penlock: fast & easy seedphrase by hand!
1554837	bitcoin	0	0	6.1		The v3b weak seed sweeper | 1.771BTC RBF'ed txns were all consumed in miner fees
1554713	bitcoin	0	10	9.3		Can't Connect Zeus Wallet to my LND node with LNC anymore?
1554556	bitcoin	0	0	12.5		Bitcoin Core considers removing CJDNS support
1554468	meta	0	1	15.4		This Day on SN: August 25
1554663	tech	0	1	10.3		Apple Introduces New Mac Studio with M5 Max and M5 Ultra
1554736	tech	0	0	8.4		EmailOSINT: The story behind any email address
