# id	sub	bounty	ncom	ageH	tags	title
1529353	bitcoin	0	10	8.9	HOT	Janusz/lx_dev unveils privacy preserving bitcoin exchange using mercury layer
1529472	bitcoin	0	4	6.4	HOT	I built a browser solver for Bitcoin Puzzle 71: One GPU needs a ~million years
1529607	bitcoin	0	3	4.1	HOT	Announcing Wavelength: Bitcoin on Easy Mode for Agents and Humans 〰️⚡
1529336	news	0	15	9.3	HOT	Tether, Elektron, XXI merger called off, Mallers steps down
1528896	bitcoin	0	28	23.7	HOT	How many onchain transactions have you done in the last month?
1528989	tech	0	38	22.3	HOT	Where do ISP's get their internet from?
1529540	bitcoin	0	3	5.3		📣 AMA Announcement: Michael Schmid aka Schnitzel the heatpunk! - THURSDAY 10AM
1529679	lol	0	2	2.4		OP_PLENTY - encode arb. data in *contiguous* bytes. Up to 2MB, BIP110 compliant
1529616	bitcoin	0	1	4.0		👀 The new version of the BULL Wallet is out!
1529374	bitcoin	0	9	8.5		Prediction Markets vs Gambling - Do you know the difference?
1529476	bitcoin	0	0	6.3		Morning Minute: The Clarity Act Has New Life - Decrypt
1529363	bitcoin	0	4	8.7		Native Cashu — Last Week in Bitcoin (Jul 13 - 19)
1528908	bitcoin	0	6	23.4		What Does BIP110 Mean for the Lightning Network? - Amboss
1529109	news	0	7	19.3		Dutch crypto platform Knaken declared bankrupt, €7m missing - DutchNews.nl
1528953	bitcoin	0	3	22.8		Bitcoin Butlers — Self-Custody Made Simple
1529187	tech	0	4	14.9		How Texas Police Spent $4.5 Million on Four Chevy Tahoes | The Drive
