# id	sub	bounty	ncom	ageH	tags	title
1518469	bitcoin	0	9	0.8	FRESH	We're Sunsetting Self-Serve at Voltage: Enterprise is Our Future - Voltage
1518020	bitcoin	0	14	20.7	HOT	Nice watch-only bitcoin wallet
1518433	math	0	1	1.5	FRESH	Multisignatures and aggregate signatures - Tim Ruffing (Eurocrypt Talk)
1518135	bitcoin	0	3	14.6	HOT	NO CONSENSUS FOR CONSENSUS CLEANUP
1518130	bitcoin	0	1	15.0	HOT	Money Laundering Index (Orlin Grabbe archive, 1990s cypherpunk)
1518414	bitcoin	0	1	1.9	FRESH	💀 Escribir la seed en un sitio web
1517897	bitcoin	0	14	23.5	HOT	Bitcoin Is Not Freedom: The Delusion of Digital Escape - Mises Institute
1518434	tech	0	0	1.4	FRESH	I Tried Rips, the Card-Pack App Where Users Spend $$$ Chasing Pricey Pokémon
1518384	bitcoin	0	2	2.7		Merge Mining Monitor - deadmanoz
1518275	bitcoin	0	2	4.8		How to search for OP_RETURN text
1518300	bitcoin	0	2	4.1		Breez's Class of Q2 2026 👀⚡️ - 13 more apps featured!
1518054	AI	0	1	19.5		Is everybody pivoting to AI?
1517937	bitcoin	0	0	22.2		Satoshi and Hal Finney first describing a mempool in November 2008
1518025	bitcoin	0	0	20.5		cerberus: Bark BTC-Ark Swap Protocol - stutxo
1518087	tech	0	0	18.9		ZCode – Harness for GLM-5.2
1517919	tech	0	2	22.9		Meet Fio: the Catholic alternative to Spotify
1517926	gaming	0	0	22.5		Xbox testing disc-to-digital feature that digitizes a physical game collection
