# id	sub	bounty	ncom	ageH	tags	title
1551914	bitcoin	0	0	1.0	FRESH,HOT	Market for renting Fidelity Bonds · joinmarket-ng
1551592	bitcoin	0	12	16.0	HOT	Coinos NWC keys rotated
1551640	AI	0	1	14.8	HOT	One thing L402 can learn from x402
1551573	bitcoin	0	1	16.3	HOT	Bitcoin Dev Launchpad First Cohort: Alumni Outlook
1551476	bitcoin	0	9	18.9	HOT	We replaced our ledger with two functions - River
1551441	bitcoin	0	0	20.3	HOT	1k+ ETH in Phishing Attack After Using Tornado Cash’s Expired Official Domain
1551365	tech	0	6	23.4	HOT	IDN homograph phishing and an election in Alaska
1551734	security	0	4	11.5		Atomiq, bitcoin alt swapper, shuts down following "sophisticated AI attacks"
1551820	bitcoin	0	1	7.7		Unlukey: a tool to  identify wallet addresses generated from weak seed phrases
1551683	tech	0	1	13.1		satd (full Bitcoin node in Rust): Guided Code Tour
1551564	AskSN	0	6	16.5		Bitcoin Survey 🤔⚡⚡
1551505	lol	0	2	18.0		COLDCARD Security Update: Seed Generation, Transaction Integrity, Data Isolation
1551376	bitcoin	0	2	23.0		🔥 SATS Routing | Non-Custodial Bitcoin Bridge
1551824	lol	0	0	7.3		What else can you use to find subdomains?
1551683	tech	0	1	13.1		satd (full Bitcoin node in Rust): Guided Code Tour
1551673	tech	0	0	13.4		Watching TikTok and Instagram deactivates the cognitive control network: Study
1551496	AI	0	3	18.2		A Chinese AI robot just broke Usain Bolt’s 100m record.
