# id	sub	bounty	ncom	ageH	tags	title
1498671	bitcoin	0	3	1.6	FRESH,HOT	Brink's Bitcoin Core Fuzz Testing Research Interns: Dongjia Zhang and Stratos
1498479	bitcoin	0	2	9.5	HOT	Stablecoins are now available on Cash App
1498664	bitcoin	0	0	1.8	FRESH	📣 AMA Announcement: HodlTarantula - THURS, 04 JUNE - 10AM
1498699	bitcoin	0	0	1.0	FRESH	blackbox_node: Off-grid mesh node w/ local AI TAK and Bitcoin, Cashu
1498269	bitcoin	0	6	20.5	HOT	Built a multiplayer voxel world fully on-chain on Bitcoin
1498663	tech	0	4	1.8	FRESH	Tulip mania: when a single flower was worth more than a house (2025)
1498565	bitcoin	0	1	5.6		CLN DoS vulnerability, CoreDev meeting - Bitcoin Optech Newsletter #407
1498620	bitcoin	0	5	3.8		Hestia - Heating that pays for itself.
1498637	bitcoin	0	0	2.9		BIP450: Formosa—Seed Encoding per Themed Mnemonic Stories by Yuri-SVB
1498498	bitcoin	0	0	7.8		Would transaction labels make bitcoin bookkeeping & tax reporting less painful?
1498157	math	0	1	23.8		A shallow dive into formal verification - Vitalik Buterin
1498328	bitcoin	0	1	18.0		Dog Park - Privacy in Bark
1498192	tech	0	2	22.6		Claude Opus 4.8
