# id	sub	bounty	ncom	ageH	tags	title
1524157	security	0	69	2.0	FRESH,HOT	I'm Luke de Wolf, Author of Defending Bitcoin, AMA
1523710	bitcoin	0	6	20.6	HOT	ScamouraiWallet/POST_MORTEM.md - nopara73
1523730	bitcoin	0	29	19.9	HOT	Chainalysis is built into Spark
1524016	bitcoin	0	1	5.3	HOT	How Satora Connects Bitcoin To Stablecoins Without Custodians
1523810	gaming	0	7	16.6	HOT	What is Satoshi's Favor? And how can I win 21,000 sats?
1524239	AI	0	5	1.0	FRESH	How close are we to being like the people in the movie Wall-E?
1524212	AI	0	0	1.3	FRESH	Beijing Space Computing Innovation Center Unveiled, Google, Bezos, Nvidia, Musk
1524162	tech	0	2	1.8	FRESH	Recycling EVs - The practical side of fuzzy nice recycling isn't easy
1524113	bitcoin	0	5	3.4		Venezuelans Turn to Bitcoin to Fund Earthquake Relief
1523701	Geyser_community	0	4	21.1		Bitcoin Quest - New Features to try - Win 21,000 sats (multiple chances per day)
1524042	bitcoin	0	1	4.7		Who will be the heavyweight champion of large amounts of dollars?!?!
1523967	bitcoin	0	0	7.2		SuperScalar: an implementation report
1524022	bitcoin	0	1	5.1		How Bitcoin Transactions Get Confirmed on Braidpool - Bitshala
1523823	tech	0	4	16.0		I work on Bitcoin Quest every single day. We are looking for more team members
1523722	AI	0	6	20.4		Worldwide user stats of Bitcoin Quest
1523823	tech	0	4	16.0		I work on Bitcoin Quest every single day. We are looking for more team members
1523698	tech	0	1	21.2		Playa Mesh, Meet Reno: A Burning Mesh Partnership | Resilient comm across Nevada
