# id	sub	bounty	ncom	ageH	tags	title
1560008	bitcoin	0	1	5.9	HOT	Mempool Developer Day #1
1559806	bitcoin	0	10	10.1	HOT	Are you still using robosats?
1559699	bitcoin	0	2	14.9	HOT	Quantum Secure Bitcoin Transaction created without a Hard Fork
1559606	bitcoin	0	1	21.2	HOT	For my inaugural OP_RETURN, I posted some seed words
1560171	bitcoin	0	1	2.3		What to do with BIP110 coins? Help ensure Luke stays away.
1560002	bitcoin	0	1	6.0		BIP448 Mercury Layer wallet on Mutinynet
1560101	bitcoin	0	2	4.5		Tutorial: Freedomia Non-KYC Reloadable Visa Card (online + tap to pay)
1559738	bitcoin	0	3	12.6		BIP110 Split & Swap Portal
1559712	bitcoin	0	1	14.1		Krackpot: World's worst lottery just got worse (Bitcoin Puzzle 71)
1559604	bitcoin	0	1	21.2		Connecting ASICs to Braidpool: When Hardware Fights Back - Priya Rani
1559628	bitcoin	0	0	20.3		Bitcoin Tech Talk #516: Burger Age, Killer Moms, Guilty Scapegoat, Travel Sports
1559591	bitcoin	0	3	21.9		app for contractor work
1559631	Memes	0	0	19.8		Frankie MacDonald says Bitcoin (again)
1560010	AI	0	0	5.8		1.5TB → 214GB, Tencents quantization method packs weights down to 1.25 bits
1559740	tech	0	1	12.5		DEFCON 34: ESP32 Counter Surveillance for Everyone by Cybertiger & Colonel Panic
