# id	sub	bounty	ncom	ageH	tags	title
1513227	bitcoin	0	5	20.8	HOT	State of the transaction privacy work in Bitcoin - delving
1513709	bitcoin	0	2	2.3	HOT	[HM] - The Hacker Who Left Bitcoin to Go to War
1513753	bitcoin	0	0	0.7	FRESH	Taproot Assets v0.8 and SDK: Building "Stablecoins" at Lightning Speed
1513175	bitcoin	0	4	23.7	HOT	Bagholders and Bitcoiners: Strategy's Dilution as a Service (FT, Craig Coben)
1513751	meta	0	5	0.8	FRESH	Capitalize my name?
1513478	AI	0	2	8.4	HOT	AI KYC is Here!
1513477	bitcoin	0	10	8.4		Ashigaru v1.0 Now Available for for Desktop
1513617	bitcoin	0	3	5.1		[BIP Draft] Segregated Data: a prunable, script-isolated block region for data
1513476	AskSN	0	8	8.4		What Is Bitcoin's Biggest Challenge?
1513640	bitcoin	0	0	4.5		Sparrow Wallet on MacOS is safe
1513624	bitcoin	0	2	4.8		draft escrow module for fedimint - harsh dev
1513351	lol	0	12	12.5		Lawyer wants Satoshi’s anonymous ‘finder’ to drop the mask
1513262	events	0	1	16.9		Map of BitDevs Meetups Around The World
1513293	bitcoin	0	2	15.2		Phishing Attempt: The "Post-Quantum" Snail Mail Scam targeting Coldcards 🐌📦
1513683	meta	0	22	3.1		Downzaps Censoring in Practice
