# score	source	age_h	payout_hint	tags	url	title
5	sn/bitcoin	6.0	$10	OPEN_NEED,LOW_COMP	https://stacker.news/items/1569672	Using Bitcoin in Real Life
5	github	1.1	000 Sat	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/1091	[radar] SN open bounty 2026-09-12T22:12
3	github	4.1	000 Sat	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/1064	[radar] SN open bounty 2026-09-12T19:13
3	github	6.3	000 Sat	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/1063	[radar] SN open bounty 2026-09-12T17:00
3	github	9.3	000 Sat	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/1061	[radar] SN open bounty 2026-09-12T14:01
3	github	12.7	000 Sat	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/1058	[radar] SN open bounty 2026-09-12T10:38
3	github	12.7	000 Sat	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/1057	[radar] SN open bounty 2026-09-12T10:38
3	github	17.7	000 Sat	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/1054	[radar] SN open bounty 2026-09-12T05:39
2	sn/bitcoin	8.2	-	OPEN_NEED	https://stacker.news/items/1569548	Do you consider Quantum, a threat OR an opportunity, OR both?
2	github	24.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/manankharwar/fusioncore/issues/115	gnss.min_satellites above 4 rejects every NavSatFix fix forever, because the count is synthesised
2	github	8.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/Tellus-Cooperative/stellar-paylink/issues/3	Multiple explicitly configured credit assets
2	github	31.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/utilityjnr1/lumena/issues/17	[DX] Interactive Playground Example App (examples/playground)
2	github	31.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/utilityjnr1/lumena/issues/3	[Feature] Asset-Specific Spend Limits in PolicyEngine
2	github	56.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/alinaschanz/lendrates/issues/3	a --history view from the daily file
1	github	9.6	$50	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1518	[Bounty] [Bounty: $50] slugify() leaves double and trailing hyphens
1	github	23.1	000 Sat	OPEN_ISSUE	https://github.com/relayhop/sn-monetization-runtime/issues/1053	[radar] SN open bounty 2026-09-12T00:10
1	github	25.6	000 Sat	OPEN_ISSUE	https://github.com/relayhop/sn-monetization-runtime/issues/1052	[radar] SN open bounty 2026-09-11T21:40
1	github	26.1	$500	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1509	[Bounty] [Bounty $500] ttnn.quantize/requantize uint8 lower-bound saturation
1	github	28.9	$7500	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1472	[Bounty] [Bounty $7500] Remove legacy sqrt/rsqrt/reciprocal compatibility paths
0	github	8.8	-	OPEN_ISSUE	https://github.com/Ikalus1988/MisakaNet/issues/1640	[Bounty] 让 workflow 的 shell 步骤能在本地跑起来：scripts/check_workflow_scripts.py
0	github	11.9	-	OPEN_ISSUE	https://github.com/maaltarifi97-maker/aioa-playground/issues/1	[Bounty: $50] slugify() leaves double and trailing hyphens
0	github	28.6	-	OPEN_ISSUE	https://github.com/tenstorrent/tt-metal/issues/56290	[Bounty $500] ttnn.quantize/requantize uint8 lower-bound saturation
