# score	source	age_h	payout_hint	tags	url	title
4	sn/bitcoin	23.1	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1483576	Ever thought about adding a passphrase to your main wallet?
2	github	6.4	-	OPEN_ISSUE,LOW_COMP	https://github.com/spiffamani/swiftpay/issues/4	[MEDIUM] Build the Post a Job form
2	github	6.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/spiffamani/swiftpay/issues/2	[TRIVIAL] Create a reusable JobCard component
2	github	1.2	-	OPEN_ISSUE	https://github.com/mrveiss/AutoBot-AI/issues/6934	[BOUNTY]
2	github	21.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/8	[radar] SN open bounty 2026-05-03T23:30
2	github	24.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/4	[radar] SN open bounty 2026-05-03T20:07
2	github	27.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/3	[radar] SN open bounty 2026-05-03T17:36
0	github	30.4	-	OPEN_ISSUE	https://github.com/relayhop/sn-monetization-runtime/issues/2	[radar] SN open bounty 2026-05-03T14:16
0	github	33.7	-	OPEN_ISSUE	https://github.com/relayhop/sn-monetization-runtime/issues/1	[radar] SN open bounty 2026-05-03T10:59
0	github	42.3	-	OPEN_ISSUE	https://github.com/moorcheh-ai/memanto/issues/37	[BOUNTY $100] 🐜 Best-in-Class Integration: CrewAI + Memanto Agentic Memory
0	github	44.9	-	OPEN_ISSUE	https://github.com/amaanjaved1/Coursify-WebApp/issues/289	Bounty: Landing Page, Navigation and Design System
0	github	44.9	-	OPEN_ISSUE	https://github.com/amaanjaved1/Coursify-WebApp/issues/288	Bounty: Database
0	github	44.9	-	OPEN_ISSUE	https://github.com/amaanjaved1/Coursify-WebApp/issues/287	Bounty: API Layer
0	github	44.9	-	OPEN_ISSUE	https://github.com/amaanjaved1/Coursify-WebApp/issues/286	Bounty: Queens Answers + Redis
0	github	44.9	-	OPEN_ISSUE	https://github.com/amaanjaved1/Coursify-WebApp/issues/285	Bounty: Grade Distribution Upload
0	github	44.9	-	OPEN_ISSUE	https://github.com/amaanjaved1/Coursify-WebApp/issues/284	Bounty: Course Detail & Grade Distributions
0	github	45.0	-	OPEN_ISSUE	https://github.com/amaanjaved1/Coursify-WebApp/issues/283	Bug Bounty - Search courses
