# score	source	age_h	payout_hint	tags	url	title
5	sn/tech	15.4	$2000	OPEN_NEED,LOW_COMP	https://stacker.news/items/1561729	Russian man indicted for spreading malware to 80,000 freelancers
4	github	0.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/802	[radar] SN open bounty 2026-09-04T11:09
4	github	2.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/800	[radar] SN open bounty 2026-09-04T09:31
2	sn/bitcoin	18.0	-	OPEN_NEED	https://stacker.news/items/1561572	The Many Headaches of CoinJoin - Spiral
2	sn/bitcoin	16.8	-	OPEN_NEED	https://stacker.news/items/1561659	Can you name a Bitcoin company that has found product-market fit?
2	sn/bitcoin	21.5	-	OPEN_NEED	https://stacker.news/items/1561344	How To Use Blake2B Tokens On Stacker News
2	github	7.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/798	[radar] SN open bounty 2026-09-04T04:20
2	github	41.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/du82/nonograph/pull/28	fix: reject path traversal in the post id route
2	github	44.4	-	OPEN_ISSUE,LOW_COMP	https://github.com/commaai/openpilot/issues/38752	Merge PlotJuggler functionality into cabana
2	github	45.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/794	[radar] SN open bounty 2026-09-02T14:22
2	github	48.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/790	[radar] SN open bounty 2026-09-02T11:10
2	github	50.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/787	[radar] SN open bounty 2026-09-02T09:30
2	github	55.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/781	[radar] SN open bounty 2026-09-02T04:20
2	github	59.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/775	[radar] SN open bounty 2026-09-02T00:02
2	github	62.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/772	[radar] SN open bounty 2026-09-01T21:43
2	github	65.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/770	[radar] SN open bounty 2026-09-01T18:23
2	github	68.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/769	[radar] SN open bounty 2026-09-01T14:46
1	github	38.3	$1	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/973	[Bounty] [Bounty $1,000] ttnn.prod_bw returns non-finite gradients for zero inputs
0	github	29.4	-	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/976	[Bounty] Add fibonacci function with edge case handling
