# score	source	age_h	payout_hint	tags	url	title
6	sn/bitcoin	2.8	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1523320	How Banks Can Add Bitcoin Without Replacing Their Core System
4	github	0.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/ocheeluma/pactum-orchestrator/issues/1	Feature: Support USDC/EURC on Stellar directly as payment currencies
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/15	[50 MRG] Structured logging + --verbose serve
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/14	[200 MRG] E2E: agent uses MCP to drive mock turtle + evidence
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/13	[25 MRG] Vietnamese README section
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/12	[50 MRG] Bag: ros2_bag_info mock + live CLI
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/11	[100 MRG] Docker image ros2-mcp:humble
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/10	[25 MRG] TF: mock tf tree tool
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/9	[50 MRG] Actions: list and send_goal stubs
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/8	[50 MRG] Lappa bridge: HTTP tools to local Lappa sim
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/7	[50 MRG] Safety: live publish allowlist
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/MurphyThomas87/grpc/issues/1	🎯 Fix Stale Service Definitions in Server Reflection After Dynamic Service Registration
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/6	[100 MRG] MCP resources: topic:// stream snapshot
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/5	[100 MRG] Optional rclpy backend (no CLI)
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/4	[50 MRG] Mock: multi-robot fleet graph (3 diffs)
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/3	[50 MRG] Live: parse ros2 topic info -v into structured JSON
4	github	0.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergeos-bounties/ros2-mcp/issues/2	[25 MRG] CLI: ros2-mcp call with JSON file input
2	github	11.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/Yield-routes/Yield-routes-Frontend/issues/4	QA: manual testing of the swap quote and preview flows
2	github	13.4	-	OPEN_ISSUE,LOW_COMP	https://github.com/Stellar-IndigoPay/Stellar-IndigoPay/issues/66	Expand Soroban contract fuzz testing
0	github	45.3	-	OPEN_ISSUE	https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/40355	[Feature]: Add react crypto liquid ripple modal component (38579)
