# score	source	age_h	payout_hint	tags	url	title
5	sn/bitcoin	18.9	20 sats	OPEN_NEED,LOW_COMP	https://stacker.news/items/1552184	Latest Strikes 32 & 33 - August 3rd-16th 2026
4	github	1.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/BernhardPierno25/kafka-go/issues/1	🎯 Prevent WriteMessages from Returning Context Timeout After Messages Are Delivered
3	sn/bitcoin	22.1	$100	OPEN_NEED	https://stacker.news/items/1552045	On the Economics of Peer-to-Peer, pt 2: The Stubborn Issue of Indexation
3	github	5.2	25 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/882	[Bounty] [BOUNTY] Break the NFH Wake holder gate — 25 USDC
3	github	5.6	25 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/notforhumansfun-rgb/not-for-humans-mcp/issues/6	[BOUNTY] Break the NFH Wake holder gate — 25 USDC
3	github	44.7	3 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/835	[Bounty] [3 USDC][Open Competition V2] Write the shortest deterministic agent earning run
3	github	44.7	3 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/834	[Bounty] [3 USDC][Open Competition V2] Map the shortest discovery path for eight AI-agent
3	github	44.7	3 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/832	[Bounty] [3 USDC][Open Competition V2] Create one complete earning example for every agen
3	github	44.7	3 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/831	[Bounty] [3 USDC][Open Competition V2] Build a 25-case agent findability and task-search 
2	sn/bitcoin	17.3	-	OPEN_NEED	https://stacker.news/items/1552219	New service for stacking no-KYC + free (gifted) sats
2	github	10.4	-	OPEN_ISSUE,LOW_COMP	https://github.com/SO4-Markets/so4-oracle/issues/772	fail_ok_fail_sequence_counts_all_three_cycles doesn't test a sequence at all — it uses three independent AppState instan
2	github	11.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/SO4-Markets/so4-oracle/issues/757	token_failure_does_not_abort_remaining_tokens checks the cache for the wrong address due to a one-character typo, making
2	github	25.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/Vaulty-X/Vaulty-App/issues/42	Build an anchor-partner deposit webhook ingestion flow
2	github	46.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/accensa/x402-facilitator-stellar/issues/147	Four scripts in scripts/ are referenced by neither package.json nor the README
2	github	67.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/Savitura/crowdpay/issues/688	Path Payment Preview, Slippage Protection & Contributor Asset Intelligence
2	github	1.3	-	OPEN_ISSUE	https://github.com/BernhardPierno25/kafka-go/issues/2	🎯 Prevent `Writer.WriteMessages` from returning context timeout when messages have been successfully delivered
2	github	4.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/543	[radar] SN open bounty 2026-08-22T06:54
2	github	29.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/HarrieAlexandrowicz5/gorm/issues/1	🎯 GORM v2.24.0 Panics When Querying with Complex Joins
2	github	46.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/tenstorrent/tt-metal/issues/53787	[Bounty $5k] ttnn.log_sigmoid: 0.91% peak fp32 error and a missing x <= -4 branch
1	github	44.7	3 USDC	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/833	[Bounty] [3 USDC][Open Competition V2] Build a machine-readable Beta3 error recovery cata
0	github	10.0	-	OPEN_ISSUE	https://github.com/SO4-Markets/so4-oracle/issues/787	mixed_ledger_fail_and_ok_both_logged_in_metrics uses two independent AppState instances instead of testing an actual mix
0	github	46.7	-	OPEN_ISSUE	https://github.com/stellarspend/stellarspend-app/issues/124	Connect BudgetModal in QuickActions to the real budget contract
0	github	67.7	-	OPEN_ISSUE	https://github.com/Savitura/crowdpay/issues/687	Soroban-Enforced Spending Policies, Timelocked Withdrawals & On-Chain Audit Trail
0	github	5.7	-	OPEN_ISSUE	https://github.com/MyZubster-Ecosystem/MyZubsterGateway/issues/1380	Audit legacy bounty wording: remove automatic-payment implications
0	github	21.6	-	OPEN_ISSUE	https://github.com/AmeyOathout4/minio/issues/1	🎯 S3 API Inconsistent Behavior with Large Objects
0	github	41.6	-	OPEN_ISSUE	https://github.com/iv-org/invidious/issues/5957	[Bug] HMooneyPot alias
