# score	source	age_h	payout_hint	tags	url	title
4	sn/bitcoin	13.6	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1562750	How random is it?
2	github	17.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/818	[radar] SN open bounty 2026-09-05T12:37
2	github	19.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/816	[radar] SN open bounty 2026-09-05T10:29
2	github	20.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/814	[radar] SN open bounty 2026-09-05T08:58
2	github	25.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/812	[radar] SN open bounty 2026-09-05T04:16
2	github	29.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/809	[radar] SN open bounty 2026-09-04T23:57
2	github	32.4	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/807	[radar] SN open bounty 2026-09-04T21:22
2	github	35.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/806	[radar] SN open bounty 2026-09-04T18:18
2	github	39.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/804	[radar] SN open bounty 2026-09-04T14:15
2	github	42.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/802	[radar] SN open bounty 2026-09-04T11:09
2	github	44.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/800	[radar] SN open bounty 2026-09-04T09:31
1	github	35.5	$5000	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1185	[Bounty] [Bounty $5000] Fix INT_MIN correctness in int32 div, remainder, fmod, and scalar
0	github	4.1	-	OPEN_ISSUE	https://github.com/Scottcjn/rustchain-bounties/issues/16870	[BOUNTY: 15 RTC] x402 integration retest v2 — corrected endpoint matrix (successor to #351)
0	github	6.0	-	OPEN_ISSUE	https://github.com/Scottcjn/rustchain-bounties/issues/16863	[MICRO-BOUNTY: 0.1 RTC] Why did you choose to work on an Elyan Labs repo?
0	github	11.8	-	OPEN_ISSUE	https://github.com/ted8686/stark-test-1788631294/issues/1	Test Bounty $10
0	github	36.9	-	OPEN_ISSUE	https://github.com/tenstorrent/tt-metal/issues/55502	[Bounty $5000] Fix INT_MIN correctness in int32 div, remainder, fmod, and scalar promotion
