# score	source	age_h	payout_hint	tags	url	title
2	sn/tech	12.6	-	OPEN_NEED	https://stacker.news/items/1524239	How close are we to being like the people in the movie Wall-E?
2	github	9.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/Deen-Bridge/dnb-frontend/issues/70	[Docs] Replace placeholder README images and fix broken project links
2	github	14.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/solana-foundation/kora/issues/608	Devex: cross-cluster mint hint when initialize-atas fails on a missing or wrong-owner mint
2	github	33.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/TrusTrove/TrusTrove-app/issues/350	[Easy] docs(repo): document missing backend env vars in environment-variables.md
2	github	41.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/ocheeluma/pactum-orchestrator/issues/1	Feature: Support USDC/EURC on Stellar directly as payment currencies
2	github	52.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/Yield-routes/Yield-routes-Frontend/issues/4	QA: manual testing of the swap quote and preview flows
2	github	54.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/Stellar-IndigoPay/Stellar-IndigoPay/issues/66	Expand Soroban contract fuzz testing
2	github	2.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/10	[25 MRG] CLI: call command expand remaining tools
2	github	2.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/9	[50 MRG] Docs: Claude Desktop + Cursor config screenshots
2	github	2.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/8	[200 MRG] Feature: plugin bridge socket protocol design + stub
2	github	2.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/7	[100 MRG] Feature: selection rectangular + fill/stroke
2	github	2.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/6	[50 MRG] Feature: gimp_histogram / gimp_exif_stub tools
2	github	2.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/4	[100 MRG] Feature: filters pack (sharpen, emboss, brightness/contrast)
2	github	2.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/3	[50 MRG] Feature: layers list / new layer / flatten tools
2	github	2.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/2	[50 MRG] Feature: GIMP 3 python-fu-eval batch path (no hang)
2	github	3.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/Loru/issues/224	[50 MRG] Feature: export vocab CSV for teachers
2	github	3.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/Loru/issues/223	[50 MRG] Feature: gloss coverage heatmap CLI
2	github	3.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/PlantGuide/issues/151	[100 MRG] Feature: multi-tag identify explain scores
2	github	3.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/PlantGuide/issues/150	[50 MRG] Feature: watering calendar export ICS stub
2	github	3.4	-	OPEN_ISSUE	https://github.com/mergeos-bounties/PlantGuide/issues/149	[50 MRG] Feature: species toxicity filter CLI
2	github	3.4	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/36	[200 MRG] Feature: package manifest format proposal + loader stub
2	github	3.4	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/35	[100 MRG] Feature: array map/filter samples + tests
