# score	source	age_h	payout_hint	tags	url	title
4	sn/bitcoin	22.7	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1522471	Latest Strikes 27 - June 29th - July 5th 2026
2	github	5.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/115	[radar] SN open bounty 2026-07-11T08:08
1	github	8.9	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/968	[BUG] Web Cache Deception → Session Token Leak $150
1	github	8.9	$120	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/967	[BUG] Timing Attack on Password Verification → User Enumeration $120
1	github	8.9	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/966	[BUG] JWT Kid Injection → Path Traversal → Secret Key Leak $150
1	github	8.9	$200	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/965	[BUG] SSTI in Email Template Engine → Sandbox Escape $200
1	github	8.9	$120	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/964	[BUG] Mass Assignment in User Profile Update → Privilege Escalation $120
1	github	8.9	$120	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/963	[BUG] Host Header Injection → Password Reset Poisoning $120
1	github	8.9	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/962	[BUG] Blind Command Injection via Email Header $150
1	github	8.9	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/961	[BUG] Web Cache Poisoning via Unkeyed Header $150
1	github	8.9	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/960	[BUG] IDOR in GraphQL Nested Query → Mass Data Leak $150
1	github	8.9	$120	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/959	[BUG] Session Fixation + Session ID in URL $120
1	github	8.9	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/958	[BUG] Zip Slip → Arbitrary File Write via Archive Extraction $150
1	github	8.9	$120	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/957	[BUG] LDAP Injection → Anonymous Bind Bypass $120
1	github	8.9	$200	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/956	[BUG] Java RMI Deserialization → Remote Code Execution $200
1	github	8.9	$120	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/955	[BUG] CORS Misconfiguration + Origin Reflection → Credential Theft $120
0	github	21.6	-	OPEN_ISSUE	https://github.com/SAPTARSHI-coder/EaseMotion-css/pull/40355	[Feature]: Add react crypto liquid ripple modal component (38579)
