# score	source	age_h	payout_hint	tags	url	title
7	sn/bitcoin	1.8	$25	OPEN_NEED,LOW_COMP	https://stacker.news/items/1524563	A Question I Couldn't Answer
4	github	2.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/accensa/accensa-contracts/issues/11	docs(contracts): mainnet deployment guide with fee and rent analysis
2	sn/tech	16.9	-	OPEN_NEED	https://stacker.news/items/1524239	How close are we to being like the people in the movie Wall-E?
2	github	13.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/Deen-Bridge/dnb-frontend/issues/70	[Docs] Replace placeholder README images and fix broken project links
2	github	18.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/solana-foundation/kora/issues/608	Devex: cross-cluster mint hint when initialize-atas fails on a missing or wrong-owner mint
2	github	37.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/TrusTrove/TrusTrove-app/issues/350	[Easy] docs(repo): document missing backend env vars in environment-variables.md
2	github	45.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/ocheeluma/pactum-orchestrator/issues/1	Feature: Support USDC/EURC on Stellar directly as payment currencies
2	github	56.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/Yield-routes/Yield-routes-Frontend/issues/4	QA: manual testing of the swap quote and preview flows
2	github	58.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/Stellar-IndigoPay/Stellar-IndigoPay/issues/66	Expand Soroban contract fuzz testing
0	github	6.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/10	[25 MRG] CLI: call command expand remaining tools
0	github	6.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/9	[50 MRG] Docs: Claude Desktop + Cursor config screenshots
0	github	6.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/8	[200 MRG] Feature: plugin bridge socket protocol design + stub
0	github	6.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/7	[100 MRG] Feature: selection rectangular + fill/stroke
0	github	6.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/6	[50 MRG] Feature: gimp_histogram / gimp_exif_stub tools
0	github	6.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/4	[100 MRG] Feature: filters pack (sharpen, emboss, brightness/contrast)
0	github	6.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/3	[50 MRG] Feature: layers list / new layer / flatten tools
0	github	6.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/gimp-mcp/issues/2	[50 MRG] Feature: GIMP 3 python-fu-eval batch path (no hang)
0	github	7.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/Loru/issues/224	[50 MRG] Feature: export vocab CSV for teachers
0	github	7.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/Loru/issues/223	[50 MRG] Feature: gloss coverage heatmap CLI
0	github	7.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/PlantGuide/issues/151	[100 MRG] Feature: multi-tag identify explain scores
0	github	7.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/PlantGuide/issues/150	[50 MRG] Feature: watering calendar export ICS stub
0	github	7.7	-	OPEN_ISSUE	https://github.com/mergeos-bounties/PlantGuide/issues/149	[50 MRG] Feature: species toxicity filter CLI
0	github	7.7	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/36	[200 MRG] Feature: package manifest format proposal + loader stub
0	github	7.7	-	OPEN_ISSUE	https://github.com/ThanhTrucSolutions/OriLang/issues/35	[100 MRG] Feature: array map/filter samples + tests
