# tag	source	age_h	bounty	ncom	url	title
FRESH_LOW_COMP	github	0.2	0	0	https://github.com/relayhop/sn-monetization-runtime/issues/484	[radar] SN open bounty 2026-08-18T04:08
FRESH_LOW_COMP	github	0.4	0	0	https://github.com/relayhop/sn-monetization-runtime/issues/483	[radar] SN open bounty 2026-08-18T03:53
FRESH_LOW_COMP	github	0.9	0	0	https://github.com/relayhop/sn-monetization-runtime/issues/482	[radar] SN open bounty 2026-08-18T03:28
FRESH_LOW_COMP	github	1.3	0	0	https://github.com/relayhop/sn-monetization-runtime/issues/481	[radar] SN open bounty 2026-08-18T03:04
FRESH_LOW_COMP	github	1.7	0	0	https://github.com/relayhop/sn-monetization-runtime/issues/480	[radar] SN open bounty 2026-08-18T02:37
FRESH_LOW_COMP	github	2.6	0	0	https://github.com/relayhop/sn-monetization-runtime/issues/479	[radar] SN open bounty 2026-08-18T01:45
FRESH_LOW_COMP	github	2.9	0	0	https://github.com/relayhop/sn-monetization-runtime/issues/478	[radar] SN open bounty 2026-08-18T01:24
FRESH_LOW_COMP	github	4.5	0	0	https://github.com/relayhop/sn-monetization-runtime/issues/477	[radar] SN open bounty 2026-08-17T23:48
FRESH_LOW_COMP	github	4.8	0	0	https://github.com/relayhop/sn-monetization-runtime/issues/476	[radar] SN open bounty 2026-08-17T23:31
FRESH	github	1.7	0	1	https://github.com/commaai/opendbc/issues/3695	Toyota TSS3 car port
FRESH	sn/bitcoin	1.9	0	1	https://stacker.news/items/1550155	Why Bitcoin Cannot "Separate Money and State" (And Why We're Still Winning...)
FRESH	github	4.2	0	4	https://github.com/mxx1111/spare-cycles/issues/5	[Task] mdlook: 补上 CI，dependabot 正在往没有任何检查的仓库提 PR
FRESH	github	4.2	0	7	https://github.com/mxx1111/spare-cycles/issues/4	[Task] Homelab: notify.py 增加 ntfy 推送渠道
FRESH	github	4.2	0	5	https://github.com/mxx1111/spare-cycles/issues/3	[Task] wechat-mp-writer-skill: platform-limits.json 的 lastVerified 陈旧度检查
FRESH	github	4.2	0	5	https://github.com/mxx1111/spare-cycles/issues/1	[Task] Homelab: CI 拦截硬编码内网 IP 与误提交的 config.yaml
FRESH	github	4.9	0	1	https://github.com/relayhop/sn-monetization-runtime/issues/474	[radar] SN open bounty 2026-08-17T23:26
